trace,SSD-NoFDE,SSD-FDE,MUTE-PO,MUTE-PH,MUTE-H,PEARL-P,PEARL-H,MDEFTL-P,MDEFTL-H
SW,139,136.3333333,135.6666667,134.6666667,23.36666667,102.3333333,20.23333333,10.3,20
SR,284.6666667,227.6666667,226,226,15.73333333,151,58.43333333,99.5,100
RW,138.6666667,135.6666667,134.6666667,135,23.26666667,100.3,20.3,10.3,20
RR,317.6666667,226.3333333,224.6666667,223.6666667,15.7,149.3333333,54.73333333,201.75,201.75
