trace,SSD-NoFDE,SSD-FDE,MUTE-PO,MUTE-PH,MUTE-H,PEARL-P,PEARL-H,MDEFTL-P,MDEFTL-H
hm,1,1,1,1,1.008537231,1.67,1.733829307,2,1
prxy,1,1,1,1,1.006565372,1.67,1.718503239,2,1
rsrch,1,1,1,1,1.013665786,1.67,1.773351407,2,1
wdev,1,1,1,1,1.012867288,1.67,1.767269672,2,1
